country,year,population,gdp,electricity_demand,electricity_generation,fossil_electricity,renewables_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,primary_energy_consumption,greenhouse_gas_emissions,carbon_intensity_elec
Argentina,2000,37213986.0,536480965694.0,90.1999969482422,88.9800033569336,53.79999923706055,29.0,6.179999828338623,1.7799999713897705,48.880001068115234,3.140000104904175,0.0,0.0299999993294477,28.579999923706055,703.6347045898438,31.6299991607666,355.4700012207031
Argentina,2001,37624817.0,514867255248.0,91.88999938964844,90.13999938964844,46.09000015258789,36.9900016784668,7.059999942779541,1.3600000143051147,43.2599983215332,1.4700000286102295,0.0,0.050000000745058,36.58000183105469,687.3407592773438,27.229999542236328,302.0899963378906
Argentina,2002,38029345.0,460558541367.0,90.51000213623048,84.58999633789062,42.38999938964844,36.380001068115234,5.820000171661377,0.8100000023841858,40.709999084472656,0.8700000047683716,0.0,0.0700000002980232,35.779998779296875,658.1510620117188,24.940000534057617,294.8299865722656
Argentina,2003,38424283.0,503104157615.0,97.0999984741211,92.06999969482422,49.7400016784668,34.7599983215332,7.570000171661377,0.9399999976158142,47.75,1.0499999523162842,0.0,0.0799999982118606,33.79999923706055,704.7577514648438,29.1299991607666,316.3900146484375
Argentina,2004,38815915.0,550306327169.0,103.7300033569336,100.26000213623048,60.9900016784668,31.399999618530273,7.869999885559082,1.6799999475479126,55.209999084472656,4.099999904632568,0.0,0.0700000002980232,30.459999084472656,751.156982421875,35.86000061035156,357.6700134277344
Argentina,2005,39216786.0,601050418142.0,109.62999725341795,105.75,63.66999816894531,35.209999084472656,6.869999885559082,2.180000066757202,55.70000076293945,5.789999961853027,0.0,0.0700000002980232,34.220001220703125,796.3668212890625,37.77000045776367,357.1600036621094
Argentina,2006,39622113.0,652296814311.0,115.79000091552734,113.43000030517578,66.56999969482422,39.13999938964844,7.71999979019165,1.9900000095367432,56.400001525878906,8.180000305175781,0.0,0.0700000002980232,38.02000045776367,836.0589599609375,39.689998626708984,349.9100036621094
Argentina,2007,40016767.0,714725198062.0,121.12000274658205,113.5199966430664,73.91999816894531,32.349998474121094,7.25,2.3399999141693115,60.18000030517578,11.399999618530272,0.0,0.0599999986588954,31.219999313354492,869.0759887695312,44.04999923706055,388.0400085449219
Argentina,2008,40424151.0,747157417513.0,127.38999938964844,121.91000366210938,82.06999969482422,32.45000076293945,7.389999866485596,1.940000057220459,65.41000366210938,14.720000267028809,0.0,0.0399999991059303,31.200000762939453,879.07177734375,48.84000015258789,400.6199951171875
Argentina,2009,40854832.0,705920838368.0,128.47999572753906,122.31999969482422,78.29000091552734,35.849998474121094,8.180000305175781,1.75,61.70000076293945,14.84000015258789,0.0,0.0399999991059303,34.619998931884766,852.1541137695312,46.77000045776367,382.3599853515625
